X1,X2
BFBBFFF,RLR
BBFFFFB,RLL
FBFFBFB,LRL
FBFBBBF,RLR
BFBFBFF,LRL
BFFFFFB,LRR
FBFFBBF,RLR
FBBFFBB,LLR
BFFFBFF,LLR
BFBFFBF,RLR
BFBFFBB,RLR
FBBBBFB,LLL
BFBFBBF,LLL
FBBFBBB,LRR
FBBFBFB,RLR
BFBBFBF,LRR
BFFFFFF,LLR
BFBFBBF,LLR
FFBBBFB,LRR
FFBBBBB,RLR
FFFBBFF,RRR
FFFFBFB,LRL
BBFFBFB,RLR
BBFFBFF,LRL
BBFFFFB,RRR
BFBBFFB,RLR
FBBBBBB,LLL
FFBFFFB,RRL
FBFFBBB,LRL
FBBFBBF,RRL
FBBBBFB,RRR
BFFFFFF,LRR
BFBBBFB,LLL
FFBBFBF,LRR
FFFFBBF,LRL
FBFBBFF,LRL
FBFBBFF,LLL
FFFBBFF,LLR
BFBBFBF,LLR
FFFFFBB,LRR
FFBFFFF,RLL
BFBFFFF,LRL
BFFBBBB,LRR
FBBFFFB,RRR
FFFBBBB,RLL
BFBFBBB,RRL
BBFFFBF,LLR
FBBBFBB,LRR
FFBBBFB,RRR
BBFFBFF,RLL
FFFBBBF,RLR
BBFFFBF,RLR
FBFBBFB,RRR
BFBFBFB,LRL
FFFBFBF,RRR
FFBFFFF,LRR
FFFFBFF,LRL
FFBBBBF,RLL
FFFFBBB,LRR
FBBBBBB,LRL
BFFBBBF,LLR
FFBBFBB,LLL
FFFBBBB,LLR
BFFBBBB,RLL
FBBFBFF,RRR
BBFFBFF,RRL
FFBFBFF,LLL
BFFBBFB,LLR
FFFFBFB,RRL
FFBFBBF,LRL
FBBFFFF,LRL
FBBBFFF,LRR
BFBBBBF,RRR
FBFBFBB,RRL
BFFFFBF,RLR
BFBFFBB,LRR
FFFBBBF,LRR
FBBBFBF,RRR
FFFFBBB,RLR
FFFFBFB,LLR
BFFFBBF,LLR
FFFBFFF,LLL
BBFFFBF,RRR
FFBFBBB,LRR
FFFFBFF,LRR
FBFFBBB,LRR
BBFFFBB,LRL
FBBBFBF,LRR
BFFBBFB,RRR
FBFFBFF,RLL
FBFBFBB,LLL
BBFFBFF,RRR
BFFBFBB,LLR
FBFBFFF,RRR
BFBFFBB,LRL
FFBBBFB,LRL
BFFBBFF,RLR
BFFFBBB,LLL
BFFFFFF,RRR
FBBBBFB,LRL
BFFFFFF,RRL
FFFBFFF,LRR
FFBBFFF,RRL
BFFBFBF,LRL
FBBBFBB,RLL
BFFBFBF,RRR
FFBFFFF,LRL
FBBFBFF,LRL
FFFFBFF,RRR
BBFFBBF,LRR
FBBBFFF,RRR
FFFBFFB,LLL
FBBBFFF,LLR
FFBFFFB,LLR
FFBBFFB,RRR
BBFFFBB,RRL
FFFFBBF,RLR
BFFBFBB,LLL
FFFBBFF,LRR
FBBBFFF,RLL
FFBBBBB,RRR
BFBBFBF,LRL
BFBBBBB,RRL
FBFBFBB,LLR
FFBFFFB,RLL
FFFFBBF,LLL
FFFBBFB,LLR
FFFBBBB,LRL
BFFBFFF,LLL
FFBFFBF,RRL
FBBFFFB,LLR
BBFFFFB,LRL
BFFFBBB,RLR
BFFBFFB,LRL
BBFFBFB,LLL
FBFBFBB,RLL
FFFBBFB,RLL
BBFFFBF,RRL
FBBBFFF,RRL
BFBFBFB,RLL
BFBBFFF,LRR
FFFFBFB,RLL
FFBBBFB,RLL
BFBBFFF,LLL
BFBFFFB,RRL
FBFBFBF,RLR
FBFFBBB,RLL
BBFFBFB,LRL
BFBBBBB,LLL
FBBFBFF,RLR
FFFBFBF,RRL
BFBBFBF,LLL
BFFFFBF,LLR
FBFBFFB,LRL
FBFBFFB,RRR
BFBFFFF,LLR
BFFFFBF,RRL
BFFFFBF,LRR
BBFFFFF,RRL
FFFBFFB,RRR
BBFFBFF,LLL
FBFFFBB,LLL
FBBFBBF,LRR
BFBBBBF,RRL
BFBBBFB,RLR
BFFFFFB,RLR
FFBFBBB,RRL
FBFBFFB,RLL
BFFFBFB,LRL
FFBFBFF,RLR
FBFFFBB,RRR
BFFBFFB,LRR
BFBFBFB,LRR
FBFFBFB,LLL
BFBBBFB,RRL
FBBFFBF,RLL
FFBFBFB,RLR
BBFFFFF,LLL
BFBBBFB,RRR
FFBBFBF,RRR
BFFBFBF,LRR
FBBBFBF,RLL
FBBBBBB,RLL
FBFBFBB,RLR
BFBBBFF,RLR
FBFBBFF,LLR
BBFFBBB,LLL
BFFFBFB,LLR
FFBBBBF,LLR
BFFBBFB,RLR
FBFBBBF,LLL
FFBFBFF,LLR
FFBFFFF,LLR
FBBFBFF,RLL
BFFBBBF,LRL
FFFBFFB,RRL
FFFBFBB,RRL
FFBFBBF,RLL
BBFFBFB,LRR
BBFFFBB,RRR
FBFFFFB,LRR
BFBFBFB,RLR
BFBBFFB,LLL
BFBFBFF,RRL
BFBFFBB,RRR
FBBFBBF,RLR
BFBBFFF,RLL
BFBFFFB,LRR
FBBFFBB,RLR
FFBFFBB,RLR
FFBBBBF,LRL
BFFFBFB,RRL
BBFFBBB,LLR
BFBFBFB,LLR
FFFBFFF,RLR
BFFBBBB,LLR
BFBBFFB,RRR
BFFFBFB,LRR
BFBFBBB,RRR
FBBFBBF,LLR
FBFFFBF,RLL
FBBBBFF,LRL
FFBBFBF,LLL
BFBFFBF,LRR
FFFFBBB,RLL
FBFFBBF,LRL
FFBFFFF,RRR
BFBBFBB,LLR
FFBBFBB,LRL
FFBBFBF,RLR
FFFFBBB,LLR
BFFBBFB,RRL
FBFFBFF,RRL
FBBFBBB,RRL
FFBFFFB,RLR
BBFFFBB,LRR
BFFBBFF,RRR
FBFFFBF,RRR
FBBFBBF,RLL
FFBFBFB,LLR
BBFFBFF,LRR
FBBFFBB,LRL
FBFFFFF,LRR
FFBBFBB,RLL
FFBBBBB,LRL
FFFBBFB,RRR
BFBFFFB,RRR
FFBFFFF,RRL
BBFFFFB,RLR
FFBFFBB,LLL
BFBFFFF,RLR
FBBFBBB,RRR
FFFBFFF,LRL
BFBFBFF,LLR
BBFFFFF,RLL
BFBFBFF,RLL
BFFFBBB,RLL
BFBFBFF,RRR
BFFFBFF,RLR
FFBBFFB,RRL
FFBFFFB,RRR
FBFFBBF,LLL
BFBBFFF,LLR
BFBBBFF,RRR
FFBFBBF,RRR
FFFBBBB,RLR
FBFFFBB,LLR
FBBBFBF,RLR
FBFBBFF,RLR
FFFBFFB,LRR
FFBBBBF,LLL
FBFBFBF,LLL
BFBFFBF,LLR
FFFBBFF,LLL
FBFBFBF,LLR
BFBFBBF,LRR
FBFFBBB,RRL
BFFBBBF,RLR
BBFFFBF,LLL
BFFBFFB,RRL
BFFFFFF,RLR
FBFFBFF,RRR
FFFFBFF,RLL
FFFBBFB,LRL
BFFBBBF,LRR
BFFFBBF,LRL
FFBFFFF,LLL
BFFBFFF,RRL
BFFFFFF,LLL
FFFBFBB,LLL
FBBBBBB,RRL
BFFBFBF,RRL
BFBFFFF,RLL
BFFFBFB,LLL
BFBFFFB,RLL
FFFBBBB,LRR
BFFBFFF,LRR
BFFBBFB,RLL
FBFFBBB,RLR
FBBBFFB,RRL
FBBBBFF,LRR
FFFFFBB,RRR
BFBBBFF,LLL
FFBFBFB,RLL
FBFBBBF,LLR
BBFFFFF,LLR
FFBFFBF,RLL
FFFBBBF,RRL
FFFBBFB,RLR
FFBFBFB,RRR
BFFBFBF,LLR
BFFFFBF,RLL
BFFBBBF,RRR
BFFBFBB,RRR
BFFBBBB,RLR
FFBFFBF,LLR
FFBBFFB,RLR
FFBFBBB,RRR
FFBBFFB,LLL
FFFFBFB,LRR
BFBFFBF,RRR
FFBFFBF,LRL
FFBBBFF,LRR
FFBFBBF,LLL
FBFBBFB,LRL
FFBBFFF,RRR
FFBFFFB,LRR
BFFBFFB,RLL
FBFBBBB,RRR
BFFFBFF,LRR
FBBBBFF,RRR
FFBFFFB,LLL
BFBFBBF,RLR
FFBFFFB,LRL
BBFFFBB,RLR
BFFBBBF,RRL
FFFBFBB,RRR
FFBBFFF,RLL
FBFFBBF,LRR
BFFBBBB,LLL
FBFFFFB,RRR
FBBFFFB,RLR
FFFBBBF,RRR
FBBBBBB,LRR
FFBBBFF,RLR
FBBBFFB,RLR
FBBFBFB,LRL
FBBBFBF,LLR
FBBFFBF,RLR
FBFFFFB,RLR
BFBFFFF,RRL
BFBFBFB,RRL
BFFFFBF,RRR
FFFBBFF,RLL
BBFFBBF,RLR
FFFBFBF,LLL
FBBBFBF,LRL
FBFBBFB,RLL
BFFBFFF,LLR
BFFBBBF,RLL
BFBBBFB,LLR
FBFBFFF,LRL
FFBFFFF,RLR
FFBFBBB,RLR
BFBBBFF,LLR
BFFFFFB,LLR
FBBFBFF,RRL
BFFBFBF,RLR
FBFFBBF,RRL
BBFFBBF,RLL
FBFFBFB,LRR
FBFBFBF,RLL
FFFBBBF,LLR
FBFBFBB,RRR
FBFBBFB,LRR
FFBFBBB,LRL
FFBFBFB,LLL
FFFBBBB,RRL
FBBBBBB,RLR
BBFFFFB,LLL
FFBBBBB,RLL
BFFFBBF,RRR
BBFFFFB,LRR
FBFFFFF,LRL
BFBFFFB,LRL
FBBBFBB,RRR
BFFBBBB,RRL
FBFFFBF,RRL
BBFFBBF,LRL
FBBFFBF,LLR
FBFBFBB,LRL
FBFBFFF,LLR
BFFFBBF,RRL
BFBFBBB,RLR
BFFBFBB,RLR
BFFFBFF,RRR
BBFFFFB,RRL
FFBFBBF,LRR
BFFFBBB,LRL
FBBBFBB,LRL
FFBBBBF,LRR
BFFFBFB,RRR
BFFBBFF,LRR
FBFFFBF,LLL
BFFBFFF,LRL
FFFFBBB,LRL
FFBBBBB,RRL
FBBBFFB,LLR
BBFFFBB,RLL
FBFFBFB,RLL
BFFFBFB,RLL
FBFFBFF,LRL
FFFFFBB,LRL
FBFBFFB,LLR
FFFBFBB,LRL
FBFFBBB,RRR
FFFBBFF,RRL
FBFBBFF,LRR
FBBFBFF,LLL
BFFFBFF,RRL
FFBFFBB,RRR
BFBBBBF,LLL
BFFFBFF,RLL
FBFFBFF,LLR
BFFBBFB,LLL
BBFFFBB,LLL
FBFBBBB,LRL
BBFFBFB,LLR
BBFFBBF,RRR
BFFBFFF,RRR
FBBFBBF,LRL
FFBFBFB,RRL
FFFBFFF,LLR
BFBFBFF,LLL
FFFBFBB,RLL
FFBFBFF,LRR
BFFFFFF,LRL
FBBFFFB,RLL
FBBFBBB,LLR
FBBBFFB,LLL
BBFFBBF,LLR
FFFFFBB,LLR
FBBBFFF,RLR
FBBFFFF,RRR
BFBFFBF,LRL
FFFBFFF,RRR
FBFFFFF,LLL
FFBFBBB,LLL
FFBBFFB,LRR
FFFFBBF,RRL
FBFFBBB,LLL
FFFBBFF,RLR
BFBFBBB,LRL
FBFFBBF,RLL
FBFBFFF,RLR
FFBBBFF,LLL
FBBFFBF,LRR
BFBFBBB,RLL
BFFBBFF,LLL
BFFBBFF,RLL
FFFBFFF,RLL
FBFBBBF,RLL
FBBBFBB,LLL
FBFBFFB,RRL
FBFBBBF,LRR
FBBBBBF,LRL
FBBFFFB,LRL
BFFFBBB,LLR
FBFBBFB,LLL
BFBBBBB,LRL
BFBBBBB,LLR
FFBFFBF,RLR
BFBBBBF,LLR
FFBBFFF,LLL
FFBFBFB,LRL
FFBBFFF,LRR
FBFBBFB,LLR
FBBFFBF,RRR
FBBFBBF,RRR
BFFBFBF,LLL
FBBFBBB,RLL
BFFFFBB,LRR
BBFFFFF,LRL
FFFBBFB,LRR
BFBFBFB,LLL
FFBBFFB,RLL
FFBBFBF,RRL
FFFBFFB,RLL
FBBBFBF,LLL
BFFBBFF,RRL
FBFFBFF,LRR
FFFFBFB,LLL
BFFFBBF,LLL
FFBBBFB,RRL
BFFBFFF,RLR
FBBBFFB,LRL
FFBBFBF,RLL
FFFBBFB,LLL
FFBBBFB,RLR
FFFBFBF,LRL
FBBFBBB,LLL
FFBFBFB,LRR
BFFFBFB,RLR
BFFBFFB,RLR
BFFFBBB,RRL
FFFFBFB,RRR
BFFBBFF,LLR
FFFBFFB,RLR
FBBFBFF,LRR
FFFFFBB,LLL
BFFFBBB,RRR
BFBFBBB,LRR
FBBFFFB,LRR
BFFFFBB,LLR
FFFBBFF,LRL
BFBBFBF,RRR
FFFBFBF,LRR
FFBFBBF,RLR
FFBFFBF,LRR
FFFBBBB,LLL
BFFBBFB,LRL
FFFBBBF,RLL
FFBBBBF,RRL
FFFFBFB,RLR
FBFFFBB,LRL
FBBBBBB,LLR
BFFFFFB,RRR
FBFFFFF,RRR
FBBBFBB,LLR
FFFBFFB,LRL
FBBFBFB,RLL
FBFFBFB,LLR
FBFFFBF,LLR
FBFBBFF,RLL
FBFFFFB,RRL
BFBFFFF,LLL
FFBFFBB,LRR
FBBFFFF,RRL
FFBFFBB,LRL
FFBBFBF,LLR
FFBBBFB,LLL
FFFBBBF,LRL
FBFFFFF,RLR
FBBFBBF,LLL
FBBBBFB,LLR
FFFBFFB,LLR
FBBBBFF,LLL
FBBFBBB,LRL
FFBBFBB,LLR
FBFBBFB,RLR
FFFFBBF,LRR
FBBBBBF,RRL
FBFBBBB,RRL
FBFFBFB,RLR
BFBFBBF,RRL
FBFBBBF,RRR
BFBFFBB,LLR
BFBFFFB,RLR
FFBFFBB,LLR
BBFFFBF,LRL
FBBBBBB,RRR
BFFFFBF,LLL
FFBBBFF,RLL
FBBFBFB,RRL
FBBFFFF,LLR
FBFFFBF,LRR
BFBFBBF,LRL
FBFFFFB,LLR
BBFFFFF,RRR
BFFFFFB,RLL
FFFFFBB,RLL
FBFBBBB,LLL
BFBFFBB,LLL
FBFFFBB,RRL
FBBFBFB,LRR
BFBBFFF,RRL
FBFBBBF,LRL
FBBFFBB,RRR
FBBBFFB,LRR
BFBFBBF,RRR
FBBBBFB,LRR
FBFFFBF,RLR
FBBFBFB,RRR
FFFFBBF,RRR
BBFFFBF,RLL
FFBBBFF,LRL
BBFFFBB,LLR
FBBBFBB,RLR
FBFBFBF,RRL
FBFBFFB,RLR
BFBBBBB,RRR
FBBBBBF,LLL
FBFFBFF,RLR
FBBFFFF,RLR
FBFBBBB,RLR
FFBBBBB,LLR
BFBBFFF,RRR
BFBBBBF,LRL
FBFFFBB,LRR
BFBFFBF,RLL
FBFBBFF,RRR
FFBFFBB,RRL
BFBFFBB,RLL
BFBBFFB,LLR
BFBBFBB,RLL
BFBBBBF,RLR
FFBBFBF,LRL
BFFBFFF,RLL
FBBBFBB,RRL
BBFFBBF,RRL
FBBFBFF,LLR
BFFFFBF,LRL
FBBBBFF,RRL
FBBBBFF,LLR
FFBBFFF,RLR
FBFFFBB,RLL
BFBFFFF,RRR
BFBBFFB,LRL
BFBBFFB,LRR
BBFFBFB,RLL
FBBFFFF,RLL
BBFFFFB,LLR
FFFFBFF,RRL
FFBFBFF,RRR
FBFBBBF,RRL
BFFFFBB,RLL
BFFFFBB,RRL
FBFBFFB,LRR
FFFBBBF,LLL
FFBBBBF,RRR
FBBBBBF,RLL
BBFFBBB,LRR
FBBBBFB,RRL
FBBBBFB,RLR
FFBFBFF,RRL
FBFBFBF,LRL
BFFBFFB,RRR
BFFBBFB,LRR
FBBFFFF,LRR
BFBFFBF,RRL
FFBBBBB,LRR
FBFFBBB,LLR
BFBBFBB,LRR
BFBFBBF,RLL
FFBFBBB,LLR
FFFBFBB,RLR
FFBBFFB,LLR
FFBFFBF,LLL
FBBBFBF,RRL
BFBBBFF,LRL
BFBBFFF,LRL
FBFBBFF,RRL
FFFBFBF,RLR
FBBBFFB,RLL
FBBBBFB,RLL
FBBBBBF,LRR
BFBBFBF,RLL
BFBBBBB,LRR
FFFBBBB,RRR
FBBFFBF,LRL
FFBFBBB,RLL
BFFBFBB,RLL
BBFFFFF,RLR
FFFBFBF,LLR
FBFFBFB,RRL
BFFFBBB,LRR
BFBBFBB,RLR
FBBBBBF,RLR
FBFFFBF,LRL
FFBBBBF,RLR
BFFFFFB,RRL
BFFFFFB,LLL
BFBFBBB,LLL
BBFFFFF,LRR
FBBFBFB,LLR
BFBFFFB,LLR
FBFFFFF,RRL
FFFFBBB,RRR
BFBBFBF,RLR
BFBBBFB,RLL
BFFFFBB,LRL
FFFFFBF,RRR
FFBBFFB,LRL
BFBBBFF,RRL
BBFFBFF,LLR
FFBBBBB,LLL
FFFBFBB,LRR
FBFBFFF,LLL
FFFFBBB,LLL
BFFBBBB,RRR
FBFFFFF,RLL
FBFBBBB,RLL
BFBBBBB,RLR
BFFBFFB,LLL
BFFBBFF,LRL
FBFFFFB,RLL
FFBBFFF,LLR
BFFBFBB,RRL
FBBFFBF,RRL
FBBFBFB,LLL
BFBBFFB,RLL
BFBBBBF,LRR
FFBBBFF,LLR
FBBBBFF,RLL
