num,issum
147892,
118573,
115114,
179352,
126075,
132193,
132345,
179411,
173257,
135300,
163085,
144782,
204128,
158033,
160273,
182559,
186461,
195763,
223701,
251217,
239171,
277104,
212807,
221549,
233687,
244648,
263355,
241189,
258268,
258420,
264538,
267645,
298385,
293333,
331243,
302815,
344494,
318306,
378322,
342832,
537556,
410162,
445250,
480452,
434356,
830889,
466197,
446494,
455236,
512293,
485837,
499457,
979909,
516688,
585951,
532183,
560978,
591718,
804143,
675737,
830599,
662800,
912691,
721154,
788082,
844518,
901730,
945951,
1031640,
1343975,
1933370,
921433,
987419,
1041187,
985294,
1002525,
1016145,
1776550,
1048871,
1336326,
1093161,
1282132,
1436236,
1338537,
1383954,
1450882,
1507318,
2346500,
1509236,
1632600,
1746248,
2635125,
1867384,
3442606,
1906727,
1908852,
1923958,
1972713,
3541452,
2558107,
2385197,
2648745,
2142032,
2331003,
2375293,
2431698,
2943554,
3205921,
2845855,
2834836,
3083482,
3881565,
3840097,
4254961,
3652975,
3613632,
6516690,
4237730,
6045330,
3830685,
3832810,
4303716,
4114745,
5221148,
4517325,
4473035,
4573730,
4987887,
4706296,
5210129,
11034015,
5778390,
5680691,
6459487,
9046765,
7198227,
7266607,
7444317,
7446442,
7483660,
7663495,
11435957,
15550702,
9876015,
9893135,
7947555,
12935442,
9091055,
9505212,
8990360,
9916425,
22828577,
9694183,
10386987,
22748929,
18984190,
17322457,
12140178,
13657714,
14642544,
14890759,
14710924,
16436802,
14930102,
16474020,
35684371,
16937915,
26413512,
17452767,
17038610,
18495572,
18081415,
33874949,
18684543,
18906785,
31749534,
20081170,
22527165,
29601683,
34555435,
30131734,
49485537,
25797892,
28300258,
46679636,
31828674,
31147726,
31366904,
31868017,
33512630,
64761051,
33976525,
65343429,
50913559,
37591328,
36765958,
49832269,
38765713,
38987955,
45879062,
59310522,
52128848,
57164796,
59733417,
54098150,
104109142,
63696691,
56945618,
67913684,
62514630,
62976400,
63015743,
86598227,
99319954,
102003698,
70742483,
75753913,
138268543,
138730313,
74357286,
69316178,
133667808,
77753668,
84867017,
98007910,
106226998,
117794841,
111043768,
134699286,
117074550,
132331921,
119460248,
119922018,
125491030,
147882760,
125992143,
140058661,
143673464,
212989642,
145070091,
195675931,
147069846,
152110954,
154183195,
159224303,
188797436,
211421476,
162620685,
215082460,
204234908,
225687246,
245743054,
277601984,
249406471,
236996568,
307690776,
272560876,
245413048,
302065955,
445739419,
266050804,
299253286,
306294149,
292139937,
299180800,
301253041,
392812900,
351418121,
425794004,
321844988,
448418044,
441231476,
366855593,
579667939,
429922154,
714468848,
482409616,
486403039,
591393223,
503047372,
511463852,
517973924,
666108879,
558190741,
565231604,
692066186,
598434086,
591320737,
658995530,
1021242891,
623098029,
1109294661,
1047641220,
688700581,
751767142,
796777747,
1076695456,
1025851123,
988112895,
912331770,
1470522511,
1152511918,
1710702659,
1828462598,
2494571477,
1076164665,
1083205528,
1214418766,
2458635406,
1250316267,
1189754823,
1548544889,
1280021318,
1282093559,
2102086593,
3018217421,
1440467723,
1485478328,
2956000839,
1827931807,
3965093988,
1900444665,
1938182893,
1988496435,
2265919488,
2159370193,
3014347558,
4228766324,
2272960351,
2326480932,
2333521795,
2297624294,
3548013047,
2440071090,
2469776141,
2675233151,
2562114877,
4705990578,
4297707948,
3706387211,
4314977367,
3378650616,
5865757404,
5448457712,
3728376472,
5316833509,
4261456786,
3926679328,
4147866628,
4425289681,
4432330544,
5347869353,
4660002727,
4570584645,
10013624032,
5940765493,
5818721706,
5002185967,
10867943371,
6859822825,
6936689937,
15361493385,
7434763683,
7107027088,
7803940297,
9709914498,
9076245825,
7655055800,
7876243100,
15650679991,
8074545956,
8359009872,
11677611733,
9434516511,
8857620225,
9002915189,
9662188694,
9230587372,
15939605126,
10820907673,
14821636895,
11862008792,
11938875904,
13796512762,
14043717025,
14371453620,
21112128244,
14983270188,
18068924370,
15729601756,
16657970989,
15531298900,
15950789056,
16235252972,
16433555828,
16932166181,
32174858098,
17860535414,
26162753553,
18088207597,
18233502561,
21169463276,
20051495045,
25642544568,
42995765771,
31657048176,
23800884696,
25735388666,
29526114518,
30606706592,
29354723808,
32384344884,
30514569088,
32608760045,
31766551872,
31482087956,
31964854728,
46465358144,
34521763425,
42076100396,
51377933234,
41889092293,
77540686787,
36321710158,
38139702642,
60122594854,
41220958321,
72521880289,
67665817160,
53155608504,
49536273362,
53326999214,
65847824676,
58880838326,
59869292896,
76410855718,
89517635876,
61996657044,
85857983520,
63248639828,
63446942684,
1.02863E+11,
70843473583,
84058036787,
74461412800,
1.05336E+11,
89477318662,
77542668479,
79360660963,
91295311146,
90757231683,
94376566825,
1.42259E+11,
1.15324E+11,
1.02692E+11,
1.12983E+11,
1.12208E+11,
1.72077E+11,
1.1875E+11,
1.21866E+11,
1.98277E+11,
1.3771E+11,
1.25245E+11,
1.65941E+11,
1.26696E+11,
1.45305E+11,
1.48386E+11,
2.79969E+11,
2.04279E+11,
1.80773E+11,
1.56903E+11,
1.6702E+11,
2.34074E+11,
3.17382E+11,
4.84247E+11,
2.56698E+11,
1.97068E+11,
2.149E+11,
2.15675E+11,
2.24558E+11,
2.45446E+11,
2.9298E+11,
2.40616E+11,
2.75653E+11,
2.48562E+11,
2.51941E+11,
2.62955E+11,
2.7055E+11,
2.72E+11,
2.75082E+11,
3.23923E+11,
4.28836E+11,
3.37676E+11,
4.23718E+11,
3.47793E+11,
3.53972E+11,
3.82695E+11,
4.11968E+11,
4.49009E+11,
4.42514E+11,
4.12744E+11,
4.21626E+11,
4.30575E+11,
4.40233E+11,
5.00211E+11,
4.86062E+11,
4.89178E+11,
4.92557E+11,
5.00502E+11,
5.14896E+11,
5.22491E+11,
5.33506E+11,
5.42551E+11,
5.47082E+11,
5.99005E+11,
7.84547E+11,
6.85469E+11,
9.46798E+11,
8.68868E+11,
1.31138E+12,
7.36667E+11,
7.94663E+11,
9.12955E+11,
8.3437E+11,
8.43318E+11,
8.52201E+11,
9.21838E+11,
8.70808E+11,
9.26295E+11,
9.93059E+11,
9.75239E+11,
9.8968E+11,
1.03964E+12,
1.27017E+12,
1.03739E+12,
1.57424E+12,
1.33163E+12,
1.28447E+12,
1.46004E+12,
1.95564E+12,
1.42214E+12,
1.48013E+12,
1.53133E+12,
1.57104E+12,
1.57999E+12,
2.02932E+12,
1.70762E+12,
1.98274E+12,
1.67769E+12,
2.19201E+12,
1.7785E+12,
2.44184E+12,
1.7971E+12,
1.90153E+12,
1.96492E+12,
2.30756E+12,
3.44505E+12,
2.76461E+12,
2.32186E+12,
2.79167E+12,
2.6161E+12,
2.86296E+12,
2.70661E+12,
2.88217E+12,
3.55378E+12,
4.49957E+12,
3.5449E+12,
3.32843E+12,
3.15102E+12,
3.35848E+12,
3.67254E+12,
3.48611E+12,
6.81455E+12,
3.45618E+12,
4.10036E+12,
3.5756E+12,
3.69864E+12,
5.22997E+12,
3.86645E+12,
4.27248E+12,
4.62942E+12,
5.20403E+12,
5.55627E+12,
5.56957E+12,
7.24552E+12,
5.32271E+12,
5.58878E+12,
5.85763E+12,
6.03319E+12,
1.10876E+13,
6.69593E+12,
6.47945E+12,
6.5095E+12,
7.18475E+12,
6.81467E+12,
6.9423E+12,
9.2682E+12,
1.06626E+13,
1.28479E+13,
8.72978E+12,
7.44205E+12,
9.85939E+12,
8.13893E+12,
8.49587E+12,
8.9019E+12,
1.11451E+13,
1.22847E+13,
1.25311E+13,
1.08923E+13,
1.1622E+13,
1.09115E+13,
1.14464E+13,
1.18908E+13,
1.25126E+13,
1.90222E+13,
2.1159E+13,
1.55444E+13,
2.2372E+13,
1.68017E+13,
3.36901E+13,
1.43843E+13,
1.59379E+13,
2.18077E+13,
3.32835E+13,
1.5581E+13,
4.88645E+13,
1.66348E+13,
1.70408E+13,
2.51307E+13,
3.34296E+13,
3.94129E+13,
2.18038E+13,
2.34241E+13,
2.23387E+13,
2.23579E+13,
2.28023E+13,
5.24518E+13,
2.44035E+13,
2.6897E+13,
3.11254E+13,
3.14252E+13,
2.99288E+13,
2.99653E+13,
3.03223E+13,
3.73848E+13,
3.10192E+13,
3.15189E+13,
3.22158E+13,
7.08381E+13,
4.00589E+13,
3.84386E+13,
3.36756E+13,
3.88446E+13,
5.20277E+13,
4.41617E+13,
6.91669E+13,
4.41425E+13,
4.5141E+13,
4.46966E+13,
4.51602E+13,
4.72058E+13,
7.46619E+13,
5.13005E+13,
5.83222E+13,
6.02511E+13,
